id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nizza disney sport goofy black,New,--,--,¥5800,¥4000,0,0,Core Black/Cloud White/Cloud White,65,07/01/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas streetball core black collegiate gold,New,--,--,¥17500,¥4300,0,0,Core Black/Carbon/Collegiate Gold,110,04/01/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas type o-2l oamc black,New,--,--,¥26000,--,0,0,Black/Black/Black,250,01/23/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas easter human made core black,New,--,--,¥10600,¥6800,0,0,Core Black/Core Black/Off White,140,09/25/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar pure white (w),New,--,--,¥12000,--,0,0,Cloud White/Core Black/Gold Metallic,120,02/13/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar 360 girls are awesome (td),New,--,--,¥8700,--,0,0,Cloud White/Icey Pink/Signal Coral,50,04/22/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas type 02 oamc grey,New,¥15900,10,¥15500,¥10500,0,0,Grey Five/Core Black/Low Pink,250,01/23/2020,15900,15900,14300,17400,--,1,-40.0,"15,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ozweego legacy purple (gs),New,--,--,¥13700,¥12600,0,0,Legacy Purple/Legacy Purple/Cloud White,90,03/26/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas rivalry hi sankuanz,New,--,--,¥19800,¥11500,0,0,Footwear White/Silver Metallic/Footwear White,--,05/23/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas stan smith trefoil white black (w),New,--,--,¥12300,--,0,0,Cloud White/Core Black/Gold Metallic,85,08/10/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas hrmny spzl white pink mint,New,--,--,¥10600,¥7100,0,0,Chalk White/Supplier Colour/Supplier Colour,130,09/17/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nizza white scarlet royal,New,¥6400,11.5,¥6400,¥2900,0,0,Cloud White/Scarlet/Royal Blue,65,09/01/2020,6400,6400,5700,7000,--,1,-7.7,"6,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas campus homemade pack purple,New,--,--,¥9000,--,0,0,Purple/Footwear White,100,08/29/2020,--,--,--,--,--,--,--,--
