id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost beyonce ivy park,New,¥23100,10.5,¥21100,¥30500,+10000,75,Maroon/Maroon/Solar Orange,200,01/18/2020,53500,2700,17200,29000,25.6,1825,9.5,"25,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nite jogger beyonce ivy park,New,¥21100,8.5,¥14700,¥23100,+2200,11,Maroon/Maroon/Solar Orange,160,01/18/2020,48400,2700,12600,29700,40.3,1728,25.0,"21,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nite jogger beyonce ivy park ecru tint,New,¥19500,8,¥16900,¥22100,-2600,-12,Ecru Tint/Grey/Solar Orange,160,01/18/2020,52700,11100,16500,22600,15.9,1953,15.6,"21,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 carbon,New,¥27300,10,¥27300,¥30100,-1100,-4,Carbon/Carbon/Carbon,220,10/02/2020,47600,25900,26100,28600,4.7,16767,17.7,"30,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 zyon,New,¥28000,10.5,¥26400,¥32600,0,0,Zyon/Zyon/Zyon,220,07/18/2020,84400,22800,25600,30400,8.8,27353,20.5,"31,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 700 v3 arzareth,New,¥43200,7.5,¥38500,¥47400,-3100,-7,Azareth/Azareth/Azareth,200,08/29/2020,126500,30300,40900,45400,5.2,11430,104.5,"40,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 cinder,New,¥41000,5.5,¥35400,¥43200,+4200,11,Cinder/Cinder/Cinder,220,03/21/2020,69100,10600,38800,43300,5.4,41250,76.8,"33,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 yecheil (non-reflective),New,¥32700,9,¥31700,¥42200,+200,0,Yecheil/Yecheil/Yecheil,220,12/20/2019,121900,10600,30400,35000,7.2,52533,40.9,"32,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 zebra,New,¥41200,8,¥36900,¥57900,+4800,13,--,220,02/25/2017,79100,23800,36800,45500,10.5,46456,77.3,"36,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 desert sage,New,¥31100,5.5,¥28400,¥32600,-400,-1,Desert Sage/Desert Sage/Desert Sage,220,03/14/2020,55000,12700,29600,32700,5.0,30205,34.1,"29,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 cloud white (non-reflective),New,¥41700,13,¥36200,¥56300,+700,2,Cloud White/Cloud White/Cloud White,220,09/21/2019,78000,--,38000,45400,8.8,29836,79.5,"32,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 earth,New,¥41900,6.5,¥30900,¥44700,+4500,12,Earth/Earth/Earth,220,02/22/2020,69200,21100,38900,44800,7.1,26712,80.5,"31,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 cream/triple white,New,¥60700,7,¥34600,¥63700,+24500,68,--,220,04/29/2017,95200,22200,50700,70600,16.4,19259,161.4,"36,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 380 mist,New,¥22700,11,¥23100,¥27400,-1500,-7,Mist/Mist/Mist,230,03/25/2020,62500,18400,20300,25100,10.7,13828,-6.5,"24,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 citrin (non-reflective),New,¥29500,9.5,¥25900,¥53700,-1100,-4,Citrin/Citrin/Citrin,220,09/23/2019,58400,15900,23800,35100,19.5,26342,26.8,"28,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy qntm (lifestyle model),New,¥32900,12,¥23000,¥34200,+10500,46,QNTM,250,02/16/2020,154300,10600,29500,36400,10.4,5251,24.8,"48,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 tail light,New,¥42700,10.5,¥34000,¥47400,+4600,12,Tail Light/Tail Light/Tail Light,220,02/22/2020,58000,22400,40400,45100,5.4,22584,84.1,"36,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 yeezreel (non-reflective),New,¥26400,10.5,¥27500,¥31600,-6500,-20,Yeezreel/Yeezreel/Yeezreel,220,12/14/2019,70800,16400,23700,29100,10.4,24859,13.6,"27,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 700 v3 alvah,New,¥45100,10.5,¥38900,¥47400,-2000,-4,Alvah/Alvah/Alvah,200,04/11/2020,131800,28100,42600,47500,5.5,13614,113.5,"40,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 wave runner solid grey,New,¥57800,8,¥55400,¥71200,-7500,-12,--,300,11/01/2017,94900,35900,53600,62000,7.3,18042,82.7,"46,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 700 mauve,New,¥42700,12,¥33800,¥46300,+7100,20,Mauve/Mauve/Mauve,300,10/27/2018,61500,19100,39900,45600,6.8,11682,35.0,"31,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 stone,New,¥27300,10,¥26100,¥46300,+1200,4,Stone/Stone/Stone,200,11/23/2019,65100,16900,19800,34900,27.9,12255,29.5,"27,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 sesame,New,¥42200,8.5,¥37500,¥54800,-600,-1,Sesame/Sesame/Sesame,220,11/23/2018,81200,24400,33200,51200,21.2,6957,81.8,"37,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 analog,New,¥41200,8.5,¥33100,¥47700,-3200,-7,Analog/Analog/Analog,300,04/27/2019,79100,19000,33000,49300,19.7,8892,30.0,"30,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 linen,New,¥29100,9.5,¥30500,¥45300,-2400,-8,Linen/Linen/Linen,220,04/18/2020,68600,25300,27500,30800,6.0,13930,25.5,"33,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 inertia,New,¥41400,9,¥40100,¥48400,-300,-1,Grey/Grey/Inertia,300,03/09/2019,73800,18700,35900,46800,13.3,10573,30.7,"36,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 v2 vanta,New,¥53600,6,¥46600,¥55700,-1000,-2,Vanta/Vanta/Vanta,300,06/06/2019,102100,20100,49400,57800,7.8,6907,69.3,"41,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 utility black,New,¥54400,7.5,¥48300,¥66500,+400,1,Utility Black/Utility Black/Utility Black,200,07/07/2018,105400,28300,43600,65300,20.0,3221,158.0,"48,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 static (non-reflective),New,¥42300,11,¥40000,¥58000,+1700,4,Static/Static/Static,220,12/27/2018,71000,27500,36400,48200,14.0,5170,82.3,"42,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 semi frozen yellow,New,¥36900,10,¥36800,¥52600,-2100,-5,--,220,11/18/2017,105400,23300,29600,44300,19.9,8463,59.1,"35,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 v2 hospital blue,New,¥39400,8.5,¥39300,¥42600,+400,1,Hospital Blue/Hospital Blue/Hospital Blue,300,09/28/2019,68900,21100,35400,43400,10.2,5517,24.3,"37,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 clay,New,¥36900,13,¥29000,¥69000,-24700,-40,Clay/Clay/Clay,220,03/30/2019,102000,18500,24300,49600,34.2,8349,59.1,"37,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 mnvn triple black,New,¥35800,7.5,¥33200,¥37900,-1000,-3,Black/Black/Black,220,02/08/2020,62800,26400,33600,38000,6.3,7837,54.1,"34,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 blush,New,¥38400,12,¥36300,¥74900,+6800,21,Blush/Blush/Blush,200,02/16/2018,124700,22200,26300,50500,31.6,1659,82.0,"42,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy powerphase calabasas core black,New,¥9500,9.5,¥4100,¥11500,+3400,55,--,120,03/17/2018,26200,2700,7300,11700,23.0,5152,-25.0,"7,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 high slate,New,¥26400,12,¥17300,¥28900,+6500,32,Slate/Slate/Slate,220,12/16/2019,84400,6400,23300,29500,11.5,5235,13.6,"23,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 yeshaya (non-reflective),New,¥49300,7,¥32500,¥51200,+9200,23,Yeshaya/Yeshaya/Yeshaya,220,01/25/2020,77000,22200,44100,54400,10.4,12822,112.3,"31,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 utility black,New,¥44400,7,¥42100,¥52200,-600,-1,Utility Black/Utility Black/Utility Black,300,06/29/2019,105400,22400,41300,47600,7.2,4707,40.3,"34,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 lundmark (non reflective),New,¥36400,11.5,¥29300,¥52200,-1100,-3,Lundmark/Lundmark/Lundmark,220,07/13/2019,70800,--,27500,45400,24.7,10451,56.8,"31,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 static black (reflective),New,¥112300,8.5,¥89500,¥124000,-19200,-15,Black/Black/Black,220,06/06/2019,242200,51700,93700,130800,16.5,5906,384.1,"97,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 sulfur,New,¥29300,11,¥28800,¥39500,-1700,-6,Sulfur/Sulfur/Sulfur,220,05/09/2020,58300,20100,26400,32300,10.1,4824,26.4,"31,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 v2 geode,New,¥33700,12,¥34200,¥50800,-11300,-25,Geode/Geode/Geode,300,03/23/2019,61500,20600,24900,42400,26.1,6706,6.3,"30,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 700 v3 azael,New,¥74200,9.5,¥73800,¥92200,-5900,-7,Azael/Azael/Azael,200,12/23/2019,147600,21700,63500,85000,14.5,8323,252.0,"58,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 beluga 2.0,New,¥73700,11,¥59100,¥72000,-2700,-4,--,220,11/25/2017,102800,31700,68300,79100,7.3,3242,217.7,"60,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 butter,New,¥34800,8.5,¥31100,¥47400,+2200,6,Butter/Butter/Butter,220,06/30/2018,68500,19200,27100,42500,22.1,4538,50.0,"31,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 salt,New,¥25900,12,¥33100,¥35500,-6800,-21,Salt/Salt/Salt,300,02/23/2019,62900,19100,20700,31000,20.0,2720,-18.3,"30,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 blue tint,New,¥50100,8,¥46500,¥59500,+600,1,--,220,12/16/2017,99900,34400,45900,54300,8.4,3221,115.9,"49,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 salt,New,¥33200,12,¥32200,¥58700,-7300,-18,Salt/Salt/Salt,200,11/30/2018,83700,15900,27900,38600,16.1,5773,57.5,"30,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 v2 tephra,New,¥37100,10,¥37300,¥50800,-2400,-6,Tephra/Tephra/Tephra,300,06/15/2019,90400,20700,29800,44500,20.0,5175,17.3,"32,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy 500 soft vision,New,¥35400,12,¥41000,¥58200,-5500,-14,Soft Vision/Soft Vision/Soft Vision,200,11/02/2019,83600,21100,25400,45300,28.1,10916,67.5,"32,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 mnvn bone,New,¥39000,8.5,¥38000,¥45900,-6800,-15,Bone/Silver/Black,220,07/11/2020,105400,29600,35500,42600,9.1,2254,68.2,"41,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy powerphase calabasas grey,New,¥8500,5,¥8000,¥15800,-1000,-11,--,120,12/09/2017,31700,5300,4400,12600,49.3,1888,-33.3,"13,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 trfrm,New,¥50200,4,¥31700,¥56300,-300,-1,Grey/Grey/Grey,220,03/16/2019,79100,21600,42900,57500,14.5,2537,116.4,"44,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 glow,New,¥64000,9.5,¥52600,¥66300,+4500,7,Glow/Glow/Glow,250,05/25/2019,99400,35500,53800,74100,15.9,2356,142.7,"56,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 v2 inertia,New,¥41300,5,¥37300,¥44100,-100,0,Inertia/Inertia/Inertia,300,09/07/2019,62200,23300,36100,46400,12.4,1673,30.3,"37,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 black red,New,¥97400,9.5,¥81200,¥84400,+7800,9,--,220,02/11/2017,200300,63800,85800,109000,11.9,1281,320.0,"94,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 synth (non-reflective),New,¥53200,7.5,¥30600,¥71600,+15600,42,Synth/Synth/Synth,220,06/22/2019,105300,19500,43700,62700,17.9,2227,129.1,"42,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 static reflective,New,¥62800,10,¥42200,¥85400,+18000,40,Static/Static/Static,220,12/26/2018,135900,30100,46100,79400,26.6,1726,170.5,"64,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 350 v2 antlia (non-reflective),New,¥26800,11.5,¥27100,¥35400,-3900,-13,Antlia/Antlia/Antlia,220,06/22/2019,45700,13200,21700,32000,19.2,3366,15.5,"28,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 380 alien,New,¥52000,7.5,¥41400,¥52600,+9900,23,Alien/Alien/Alien,230,12/12/2019,139200,31700,48300,55700,7.1,8624,114.3,"47,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yeezy boost 700 magnet,New,¥50100,11,¥47000,¥55800,-4700,-9,Magnet/Magnet/Magnet,300,09/09/2019,84000,26400,44200,56000,11.8,3994,58.3,"38,300"
