id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-rs-replicant-ozweego-raf-simons-colonial-blue,adidas,rs,adidas rs replicant ozweego raf simons colonial blue,New,21100.0,7.5,24300.0,16700.0,-15800.0,-43.0,Core Black/Colonial Blue/Core Black,57585.0,2018-03-15,36900.0,8500.0,15300.0,26900.0,27.7,21.0,-63.6,19300.0,948.0
adidas-eqt-running-guidance-solebox,adidas,eqt,adidas eqt running guidance solebox,New,18700.0,9,20600.0,16700.0,-3400.0,-16.0,,14134.5,2014-12-06,23200.0,18700.0,16800.0,20600.0,10.0,4.0,31.1,20900.0,2143.0
adidas-ultra-boost-reigning-champ-grey,adidas,ultra,adidas ultra boost 3.0 reigning champ grey,New,21100.0,12,20600.0,19400.0,600.0,3.0,,20940.0,2017-04-07,35100.0,17900.0,16500.0,25800.0,21.8,51.0,,22900.0,1290.0
adidas-adistar-comp-a-d,adidas,adistar,adidas adistar comp a/d,New,3300.0,10.5,4800.0,3100.0,-300.0,-9.0,,16752.0,2017-09-21,7000.0,3300.0,1600.0,5000.0,50.4,3.0,-80.6,4700.0,1123.0
adidas-ultra-boost-20-core-black-night-metallic,adidas,ultra,adidas ultra boost 20 core black night metallic,New,10700.0,7.5,9300.0,10000.0,400.0,3.0,Core Black/Night Metallic/Cloud White,18846.0,2019-12-06,19000.0,5300.0,10200.0,11200.0,5.2,749.0,-43.9,11000.0,317.0
adidas-alphabounce-reflective-grey,adidas,alphabounce,adidas alphabounce reflective grey,New,6900.0,10.5,,,0.0,0.0,,11517.0,2017-02-15,6900.0,6900.0,6300.0,7600.0,,1.0,-40.9,6900.0,1341.0
adidas-nmd-r1-green-camo,adidas,nmd,adidas nmd r1 green camo,New,15200.0,11,14800.0,11100.0,-600.0,-4.0,Ash Silver/Ash Silver/Solar Red,13611.0,2018-10-29,20300.0,5300.0,12600.0,17900.0,17.4,43.0,10.8,11100.0,720.0
adidas-ultra-boost-2-city-white,adidas,ultra,adidas ultra boost 2 city white,New,16300.0,8.5,16400.0,18900.0,6400.0,64.0,Cloud White/Cloud White/Collegiate Navy,18846.0,2019-06-01,30200.0,9000.0,12300.0,20300.0,24.4,384.0,-14.4,17200.0,505.0
adidas-nmd-cs1-gore-tex-dark-burgundy,adidas,nmd,adidas nmd cs1 gore-tex dark burgundy,New,17800.0,8,,15800.0,4400.0,33.0,Dark Burgundy/Core Black/Cardboard,23976.3,2018-01-27,22700.0,13200.0,14300.0,21200.0,19.8,6.0,-26.8,15800.0,995.0
adidas-y-3-kaiwa-black-white-sole,adidas,y-3,adidas y-3 kaiwa black white sole,New,29600.0,11.5,29500.0,21600.0,-2100.0,-7.0,Core White/Black/Footwear White,41880.0,2019-06-20,50600.0,15500.0,19800.0,39400.0,33.3,38.0,-30.0,25000.0,486.0
adidas-pulseboost-hd-monocle-raw-khaki,adidas,pulseboost,adidas pulseboost hd monocle raw khaki,New,16100.0,7.5,9300.0,10500.0,5500.0,52.0,Raw Khaki/Raw Khaki/Active Gold,31410.0,2019-12-14,21400.0,10100.0,12900.0,19200.0,19.6,20.0,-49.3,15900.0,309.0
adidas-nmd-r1-stlt-stealth-pack-core-black,adidas,nmd,adidas nmd r1 stlt stealth pack core black,New,6300.0,10,6400.0,5300.0,-3100.0,-34.0,Core Black/Grey Two/Grey Five,14658.0,2018-07-01,14300.0,5400.0,4200.0,8400.0,33.5,74.0,-57.9,8600.0,840.0
adidas-pulseboost-hd-core-black,adidas,pulseboost,adidas pulseboost hd core black,New,6900.0,7.5,5300.0,5200.0,-2400.0,-26.0,Core Black/Grey/Solar Red,14658.0,,9300.0,5700.0,5800.0,8000.0,14.8,26.0,-53.6,6500.0,
adidas-zx-8000-charlie-fall-of-the-wall,adidas,zx,adidas zx 8000 charlie fall of the wall,New,27200.0,13,29100.0,20400.0,2200.0,9.0,Neo White/Neo White/Core Black,20416.5,2014-11-08,27200.0,25100.0,26200.0,28300.0,4.0,2.0,32.3,26200.0,2171.0
adidas-micropacerxr1-camo,adidas,micropacerxr1,adidas micropacerxr1 camo,New,14200.0,11,9500.0,8400.0,3700.0,35.0,Core Black/Metallic Silver/Sesame,20940.0,2019-01-01,16300.0,4800.0,11600.0,16800.0,18.2,27.0,-32.9,9300.0,656.0
adidas-eqt-support-adv-white-black,adidas,eqt,adidas eqt support adv white black,New,9500.0,12,12700.0,11400.0,-6200.0,-40.0,,11517.0,2016-12-03,16900.0,9500.0,7300.0,11700.0,23.0,7.0,-18.2,13600.0,1415.0
adidas-yung-96-core-black-legend-ivy,adidas,yung-96,adidas yung-96 core black legend ivy,New,3500.0,7.5,5000.0,3100.0,-700.0,-17.0,Core Black/Legend Ivy/Raw Ochre,10470.0,2018-12-06,4300.0,3500.0,3200.0,3900.0,10.6,2.0,-67.0,3900.0,682.0
adidas-superstar-cloud-white-real-pink-gs,adidas,superstar,adidas superstar cloud white real pink (gs),New,4200.0,5.5,3700.0,2800.0,1000.0,31.0,Cloud White/Real Pink/Real Pink,7329.0,2020-03-26,6400.0,3200.0,3200.0,5200.0,23.6,7.0,-43.8,4600.0,206.0
adidas-superstar-gold-metallic-w,adidas,superstar,adidas superstar gold metallic (w),New,15900.0,8,16900.0,16200.0,-1000.0,-6.0,Gold Metallic/Gold Metallic/Cloud White,20940.0,2020-02-28,58000.0,8500.0,9100.0,22700.0,42.9,35.0,-24.9,21000.0,233.0
adidas-4d-run-signal-coral,adidas,4d,adidas 4d run signal coral,New,10600.0,9,8200.0,10100.0,1400.0,15.0,Footwear White/Footwear White/Signal Coral,31410.0,,41900.0,4500.0,7600.0,13500.0,28.0,138.0,-66.7,14300.0,
adidas-eqt-guidance-93-pusha-t-black-market,adidas,eqt,"adidas eqt guidance '93 pusha t ""black market""",New,14800.0,10,12700.0,13100.0,-3900.0,-21.0,,20940.0,2015-11-27,22800.0,7400.0,11300.0,18300.0,23.8,41.0,-30.0,14300.0,1787.0
adidas-supercourt-aero-blue,adidas,supercourt,adidas supercourt aero blue,New,5600.0,11,5300.0,2600.0,0.0,0.0,Aero Blue/Aero Blue/Crystal White,9423.0,,5600.0,5600.0,5100.0,6300.0,,1.0,-40.8,5600.0,
adidas-handball-top-white-red-royal,adidas,handball,adidas handball top white red royal,New,19300.0,9,16900.0,16800.0,-100.0,-1.0,Vintage White/Tactile Red/Bright Royal,10470.0,2017-10-25,19400.0,10600.0,15900.0,22800.0,17.9,7.0,83.0,16000.0,1089.0
adidas-stan-smith-primeknit-white-green,adidas,stan,adidas stan smith primeknit white green,New,7100.0,9,7100.0,7900.0,1000.0,16.0,,15705.0,2016-04-15,20100.0,4500.0,6200.0,8200.0,13.9,75.0,-55.0,11100.0,1647.0
adidas-ultra-boost-4-show-your-stripes-cloud-white,adidas,ultra,adidas ultra boost 4.0 show your stripes cloud white,New,16900.0,9.0,21000.0,19000.0,-2100.0,-11.0,Cloud White/Tech Ink/Ash Pearl,18846.0,2018-07-01,24800.0,9500.0,14300.0,19500.0,15.6,127.0,-11.1,16400.0,840.0
